Sex,State,Country of origin,count
men,other territories,from Sri Lanka,3
men,other territories,from Thailand,6
men,other territories,from Turkey,0
men,other territories,from Britain,34
men,other territories,from United States of America,3
men,other territories,from Vietnam,3
men,other territories,from somewhere else,506
men,other territories,from Country of birth not stated,227
women,other territories,from Australia,693
women,other territories,from Bosnia and Herzegovina,0
women,other territories,from Cambodia,0
women,other territories,from Canada,3
women,other territories,from China,4
women,other territories,from Croatia,0
women,other territories,from Egypt,3
women,other territories,from Fiji,0
women,other territories,from Former Yugoslav Republic of Macedonia ,0
women,other territories,from Germany,3
women,other territories,from Greece,0
women,other territories,from Hong Kong,0
women,other territories,from India,3
women,other territories,from Indonesia,13
women,other territories,from Iraq,0
women,other territories,from Ireland,0
women,other territories,from Italy,0
women,other territories,from Japan,3
women,other territories,from South Korea,0
women,other territories,from Lebanon,0
women,other territories,from Malaysia,177
women,other territories,from Malta,0
women,other territories,from Netherlands,4
women,other territories,from New Zealand,5
women,other territories,from Philippines,3
women,other territories,from Poland,3
women,other territories,from Singapore,19
women,other territories,from South Africa,4
women,other territories,from South Eastern Europe,0
women,other territories,from Sri Lanka,0
women,other territories,from Thailand,7
women,other territories,from Turkey,0
women,other territories,from Britain,31
women,other territories,from United States of America,3
women,other territories,from Vietnam,3
women,other territories,from somewhere else,13
women,other territories,from Country of birth not stated,68
