CES5553000001,2019.6(P)
CES5553100001,1470.5(P)
CES5553110001,572.0(P)
CES5553111001,343.0(P)
CES5553112001,142.0(P)
CES5553113001,48.7(P)
CES5553119001,38.9(P)
CES5553120001,289.5(P)
CES5553130001,608.0(P)
CES5553131001,521.0(P)
CES5553131101,379.9(P)
CES5553131201,141.1(P)
CES5553132001,37.1(P)
CES5553139001,49.7(P)
CES5553200001,526.6(P)
CES5553210001,181.4(P)
CES5553211001,118.8(P)
CES5553212001,62.5(P)
CES5553220001,164.6(P)
CES5553223001,21.0(P)
CES5553229001,143.8(P)
CES5553229101,38.0(P)
CES5553230001,39.9(P)
CES5553240001,140.2(P)
CES5553241001,74.7(P)
CES5553249001,65.7(P)
CES5553300001,22.5(P)
CES6000000001,18830(P)
CES6054000001,8198.1(P)
CES6054110001,1135.2(P)
CES6054111001,1052.0(P)
CES6054119001,83.1(P)
CES6054119101,59.1(P)
CES6054120001,914.0(P)
CES6054121101,427.3(P)
CES6054121301,75.6(P)
CES6054121401,168.9(P)
CES6054121901,244.9(P)
CES6054130001,1373.4(P)
CES6054131001,158.2(P)
CES6054132001,30.1(P)
CES6054134001,939.0(P)
CES6054137001,78.6(P)
CES6054138001,167.6(P)
CES6054140001,125.5(P)
CES6054141001,33.8(P)
CES6054143001,62.2(P)
CES6054150001,1723.5(P)
CES6054151101,751.4(P)
CES6054151201,810.6(P)
CES6054151301,55.0(P)
CES6054151901,105.1(P)
CES6054160001,1201.8(P)
CES6054161001,909.7(P)
CES6054161101,447.1(P)
CES6054161201,76.4(P)
CES6054161301,190.7(P)
CES6054161401,101.5(P)
CES6054161801,93.0(P)
CES6054162001,82.2(P)
CES6054169001,211.2(P)
CES6054170001,637.7(P)
CES6054171001,578.7(P)
CES6054171101,144.4(P)
CES6054171201,434.4(P)
CES6054172001,58.9(P)
CES6054180001,451.1(P)
CES6054181001,188.4(P)
CES6054182001,55.7(P)
CES6054184001,41.4(P)
CES6054185001,35.0(P)
CES6054186001,45.6(P)
CES6054189001,85.4(P)
CES6054190001,635.9(P)
CES6054191001,102.4(P)
CES6054192001,75.6(P)
CES6054194001,322.5(P)
CES6054199001,135.0(P)
CES6055000001,2108.1(P)
CES6055111201,88.8(P)
CES6055111401,2019.0(P)
CES6056000001,8523.8(P)
CES6056100001,8149.1(P)
CES6056110001,457.4(P)
CES6056120001,133.0(P)
CES6056130001,3458.4(P)
CES6056131001,300.5(P)
CES6056131101,260.6(P)
CES6056131201,40.0(P)
CES6056132001,2771.7(P)
CES6056133001,385.9(P)
CES6056140001,858.4(P)
CES6056141001,41.7(P)
CES6056142001,486.6(P)
CES6056142101,36.6(P)
CES6056142201,449.5(P)
CES6056143001,78.7(P)
CES6056144001,136.1(P)
CES6056145001,21.6(P)
CES6056149001,94.6(P)
CES6056150001,195.0(P)
CES6056151001,81.9(P)
CES6056152001,26.6(P)
CES6056159001,85.9(P)
